Component,Round,Delivery reliability (%),Rejection (%),Order lines previous round,Purchase value previous round,Transport costs previous round,Demand per week (piece or liter),Purchase price,Order size,Stock (pieces or liters),Stock (weeks),Stock value,Economic inventory (weeks),Obsoletes (%),Component availability (%),Bias,Amount purchased previous round (piece or liters)
Pack 1 liter,0,0.923,0.0363,5.7443,110691.8301,4552.0621,132257.2227,0.0311,619636.3636,564440,4.2535,17553.4588,8.7013,0,0.9953,0.0007,3559348
Pack 1 liter,1,0.9592,0.0362,5.6862,111244.1564,4557.1911,132414.2747,0.0312,626664.4898,710807,5.3502,22190.6272,9.6877,0,0.9994,0.0007,3563359
Pack 1 liter,2,0.9593,0.0375,5.7443,109905.575,4493.7187,130425.0201,0.0313,611694.5455,406936,3.1091,12728.5158,7.4696,0,0.9887,0.0007,3513729
Pack 1 liter,3,0.9668,0.0354,10.9953,107934.7932,5575.9554,126681.2285,0.0316,310310.5013,246033,1.9361,7783.081,6.2766,0,0.9814,0.0007,3411961
Pack 1 liter,4,0.9674,0.0365,11.6626,106773.4339,5609.9356,125181.6124,0.0316,289719.403,515733,4.1047,16297.3182,8.4423,0,1.0,0.0007,3378874
Pack 1 liter,5,0.9605,0.0327,10.125,109651.5825,4993.3556,129152.6333,0.0315,343867.0487,524630,4.0432,16522.805,6.6777,0,0.9997,0.0007,3481644
Pack 1 liter,6,0.9406,0.0317,10.0089,121456.2778,5268.0181,144849.3115,0.0311,389676.5217,583419,4.0138,18168.0828,6.6946,0,0.9998,0.0007,3900244
PET,0,0.8411,0.0589,5.9183,307931.2057,145393.1825,204296.6023,0.0547,951612.3529,851667,4.1547,46565.5796,7.663,0,0.9949,-0.0003,5631948
PET,1,0.8829,0.057,5.9183,308746.3362,145714.3914,204637.9748,0.0547,953512.9412,1083521,5.2778,59280.8115,8.7158,0,1.0,-0.0003,5643196
PET,2,0.8814,0.0568,5.9473,297578.9852,140249.0318,197347.5195,0.0548,912831.8049,603715,3.0486,33091.8855,6.4942,0,0.9871,-0.0003,5428915
PET,3,0.8957,0.0566,11.4885,298249.0753,141273.2458,197310.9563,0.0551,471488.1818,394072,2.0054,21698.0339,5.4513,0,0.9857,-0.0003,5416695
PET,4,0.9021,0.0572,12.1268,299165.87,142033.9531,197388.1366,0.055,448510.0478,787629,3.9879,43322.8141,7.4145,0,1.0,-0.0003,5438973
PET,5,0.9336,0.03,10.27,273800.246,115189.6097,197993.8552,0.0516,516868.4746,868004,4.3655,44771.7311,8.731,0,0.9998,-0.0003,5308254
PET,6,0.9411,0.0266,10.3861,305351.966,128306.4406,221638.6833,0.0515,570496.4246,974751,4.385,50233.1015,8.7428,0,1.0,-0.0003,5925218
Orange,0,0.9776,0.0103,5.3961,409042.2309,35046.0693,35360.3394,0.4392,172580.6452,160757,4.53,70609.639,10.8007,0,0.9929,0.0003,931265
Orange,1,0.9474,0.0103,5.3671,404905.7015,34881.7783,35409.6375,0.4368,172702.7027,155865,4.3863,68086.9565,10.7396,0,0.9859,0.0003,926914
Orange,2,0.9455,0.0105,5.3961,396242.6607,34276.7067,34672.9576,0.4353,168709.6774,172163,4.9468,74934.3492,11.3531,0,0.9942,0.0003,910377
Orange,3,0.9482,0.0088,9.6318,388131.2926,34124.437,33921.6499,0.4359,92439.759,77886,2.2941,33952.6385,8.6737,0,0.9421,0.0003,890359
Orange,4,0.9493,0.0,9.7188,381715.5369,33591.4931,33664.1713,0.436,90089.5522,145597,4.3131,63475.3469,10.6839,0,0.9991,0.0003,875563
Orange,5,0.9521,0.0125,9.3127,396027.4097,34753.5512,34466.4116,0.4358,97570.0935,151052,4.3632,65835.6883,10.779,0,0.9998,0.0003,908636
Orange,6,0.9562,0.0112,9.4867,443018.838,38656.4636,38625.3255,0.4369,106880.7339,170755,4.406,74607.103,10.8033,0,0.9998,0.0003,1013948
Mango,0,0.9369,0.0049,5.3091,81657.5009,3314.0294,3164.9045,0.9925,15497.2678,14089,4.447,13982.7317,7.6794,0,1.0,0.0004,82276
Mango,1,0.9369,0.0049,5.3091,81657.5009,3314.0294,3164.9045,0.9925,15497.2678,14089,4.447,13982.745,7.6794,0,1.0,0.0004,82276
Mango,2,0.8558,0.0058,5.3671,79058.9648,3247.3513,3060.3534,0.9874,14918.9189,15583,5.0868,15385.9653,8.454,0,0.9995,0.0004,80071
Mango,3,0.8448,0.0083,10.5892,86581.9852,11819.9741,3066.1372,1.078,7584.9315,5388,1.7565,5807.9201,5.4985,0,0.9242,0.0004,80318
Mango,4,0.8467,0.0,11.1694,85111.2449,11692.7087,3032.927,1.0791,7061.6883,11082,3.6454,11958.3285,7.414,0,0.9987,0.0004,78875
Mango,5,0.8913,0.0109,2.669,73092.754,4055.182,3059.9401,0.9128,30000.0,22836,7.4198,20845.8889,16.4472,0,0.9709,0.0004,80071
Mango,6,0.9327,0.0096,3.0172,83115.3752,4584.1188,3440.377,0.9182,30000.0,24776,7.1794,22750.4274,15.9789,0,0.9804,0.0004,90516
Vitamin C,0,0.8146,0.012,4.6998,2294.5504,1591.6189,183.9967,0.4729,1032.4074,769,4.1756,363.819,18.4352,0,0.8426,0.0016,4852
Vitamin C,1,0.994,0.0,4.7289,2335.3291,1598.0302,186.5914,0.4799,1029.1411,1069,5.7253,513.0373,18.9312,0,0.9842,0.0016,4867
Vitamin C,2,0.935,0.0,4.8449,2381.3976,1644.5126,192.5441,0.4745,1035.9281,1190,6.1742,564.6064,19.9762,0,0.978,0.0016,5019
Vitamin C,3,0.9494,0.0,8.8775,2773.6327,2058.045,187.116,0.5691,549.0196,614,3.2804,349.5046,17.0423,0,0.9352,0.0016,4874
Vitamin C,4,0.9482,0.0,9.2256,2769.4176,2070.8677,182.5123,0.5821,515.7233,951,5.2175,553.7881,19.0625,0,0.9934,0.0016,4758
Vitamin C,5,0.9386,0.0138,8.0652,2673.203,1961.8746,183.8063,0.5518,600.7194,978,5.3211,539.7126,19.3961,0,0.9844,0.0016,4845
Vitamin C,6,0.9483,0.0177,8.1232,2863.1481,2075.6762,202.4808,0.5371,656.25,1072,5.3005,575.8442,19.3813,0,0.9849,0.0016,5331
