Product,Round,Demand per week (units),Demand per week (value),Unit price,Gross margin per piece,Gross margin per week,Service level (pieces),Service level (order lines),OSA,Order lines per week,Obsoletes (%),Obsoletes per week (value),Stock (weeks),Stock value,Economic inventory (weeks),Forecast error (MAPE),Bias,Production batches previous round,Start up productivity loss (value),Production plan adherence (%),Assignable Contribution Rate,Carbon footprint,Rejects (value)
Fressie Orange 1 liter,0,67393.8853,25508.3237,0.3785,0.1466,9877.2161,0.9338,0.9213,0.8722,3.3899,0.0844,1319.3374,3.1682,49522.4829,7.5249,0.4899,0.0001,12.9971,934.4958,0.8294,568.6913,1.0406,645.9649
Fressie Orange 1 liter,1,67393.8853,28045.9753,0.4162,0.1851,12476.9042,0.9226,0.9108,0.8668,3.3899,0.0844,1314.1013,3.1682,49325.9388,7.5249,0.4899,0.0001,12.9971,930.787,0.8299,688.1171,1.0339,643.4012
Fressie Orange 1 liter,2,67393.8853,27708.6076,0.4111,0.1847,12448.6378,0.9234,0.9115,0.8668,3.3899,0.0637,971.3382,2.9374,44824.7962,7.1688,0.4899,0.0001,12.9971,912.3076,0.8381,694.5615,0.9987,630.6274
Fressie Orange 1 liter,3,67393.8853,21130.0456,0.3135,0.0966,6512.1908,0.8305,0.8101,0.7823,3.3899,0.0206,301.0821,1.3558,19818.3232,5.1493,0.4899,0.0001,25.8491,1911.8933,0.862,502.463,0.9317,1006.8193
Fressie Orange 1 liter,4,67393.8853,21686.0195,0.3218,0.0864,5819.8602,0.94,0.9266,0.8989,3.3899,0.005,79.6282,2.1763,34530.0118,5.9034,0.4899,0.0001,61.156,4909.5842,0.8274,465.7498,0.955,2513.4343
Fressie Orange 1 liter,5,67393.8853,29013.8461,0.4305,0.2112,14230.7306,0.9505,0.9454,0.9,3.3899,0.0606,896.3076,2.9718,43932.5017,4.7919,0.4899,0.0001,12.9681,970.009,0.909,799.6755,0.9857,458.1908
Fressie Orange 1 liter,6,67393.8853,29826.5206,0.4426,0.2008,13532.3385,0.925,0.9177,0.882,3.3899,0.1882,3066.4092,2.6144,42599.2682,4.7598,0.4899,0.0001,12.9681,1069.1592,0.8799,824.4285,1.2086,392.7973
Fressie Orange/C-power 1 liter,0,11360.9016,5255.8777,0.4626,0.2038,2315.4981,0.8384,0.8027,0.8196,1.7418,0.0714,209.9561,2.5391,7466.0153,7.4816,0.6063,0.0034,12.9971,1042.7945,0.698,778.6858,1.1954,1021.1697
Fressie Orange/C-power 1 liter,1,11360.9016,5778.5125,0.5086,0.2478,2814.6814,0.9141,0.8969,0.9213,1.7418,0.0824,244.2063,2.9737,8813.5554,7.4606,0.6063,0.0034,12.9971,1051.1115,0.8046,903.1292,1.2159,1271.5058
Fressie Orange/C-power 1 liter,2,11360.9016,5708.9669,0.5025,0.2349,2668.7557,0.9407,0.9289,0.9526,1.7418,0.1179,358.4265,3.3767,10265.9715,7.9929,0.6063,0.0034,12.9971,1078.1994,0.8105,866.4833,1.2862,1304.2734
Fressie Orange/C-power 1 liter,3,11360.9016,4353.5501,0.3832,0.1103,1253.4149,0.8231,0.7822,0.8151,1.7418,0.0454,140.8885,1.4637,4537.7731,5.7015,0.6063,0.0034,25.3269,2356.7031,0.8025,616.6773,1.2949,2126.3076
Fressie Orange/C-power 1 liter,4,11360.9016,4468.421,0.3933,0.0884,1004.3619,0.8594,0.8264,0.867,1.7418,0.0034,11.7817,1.677,5809.3849,5.558,0.6063,0.0034,39.4845,4114.4298,0.8165,540.5245,1.3624,3059.4793
Fressie Orange/C-power 1 liter,5,11360.9016,5977.8496,0.5262,0.2765,3141.3354,0.9313,0.9244,0.9696,1.7418,0.0714,202.4661,2.8507,8085.9359,4.7882,0.6063,0.0034,12.9391,1101.6149,0.9002,1061.3126,1.188,1098.522
Fressie Orange/C-power 1 liter,6,11360.9016,6145.187,0.5409,0.2732,3103.8172,0.92,0.911,0.9463,1.7418,0.18,547.3426,2.5844,7860.1718,4.7743,0.6063,0.0034,12.9391,1183.8229,0.872,1094.8444,1.3852,1303.2949
Fressie Orange/Mango 1 liter,0,42162.2852,17018.2403,0.4036,0.1369,5770.5814,0.974,0.97,0.9116,3.3809,0.0883,993.3166,3.339,37556.3547,7.5095,0.5094,0.0009,12.9971,1074.8457,0.8288,532.1945,1.068,1424.0467
Fressie Orange/Mango 1 liter,1,42162.2852,18714.9403,0.4439,0.1778,7494.6059,0.9612,0.9597,0.9116,3.3809,0.0883,990.9035,3.339,37465.1175,7.5095,0.5094,0.0009,12.9971,1072.2345,0.8293,658.7782,1.0621,1420.5872
Fressie Orange/Mango 1 liter,2,42162.2852,18490.3623,0.4386,0.178,7505.2656,0.9682,0.962,0.9116,3.3809,0.0651,715.6679,3.1226,34302.3021,7.1565,0.5094,0.0009,12.9971,1049.7548,0.8374,667.0608,1.0243,1451.2739
Fressie Orange/Mango 1 liter,3,42162.2852,14100.3457,0.3344,0.0708,2986.2384,0.8579,0.8422,0.8273,3.3809,0.0473,525.659,1.6151,17950.4762,5.7152,0.5094,0.0009,25.9652,2331.3676,0.8003,407.7692,1.0337,2508.3763
Fressie Orange/Mango 1 liter,4,42162.2852,14466.3993,0.3431,0.0576,2428.1385,0.8961,0.8733,0.8618,3.3809,0.0006,7.8128,1.5812,19034.641,5.2951,0.5094,0.0009,61.272,5965.6299,0.8262,385.0706,1.0542,6402.7194
Fressie Orange/Mango 1 liter,5,42162.2852,19362.0374,0.4592,0.2114,8914.7445,0.9556,0.9515,0.9116,3.3809,0.0569,594.8205,3.0429,31789.9562,4.8148,0.5094,0.0009,12.9971,1098.1974,0.881,795.8732,1.0081,862.6394
Fressie Orange/Mango 1 liter,6,42162.2852,19905.936,0.4721,0.1967,8291.6615,0.9553,0.9518,0.9116,3.3809,0.1917,2227.0332,2.7409,31834.1346,4.7631,0.5094,0.0009,12.9971,1220.8681,0.8605,804.5859,1.2532,1598.3296
Fressie Orange PET,0,118083.8563,23935.2589,0.2027,0.0786,9278.1559,0.9805,0.9755,0.9759,3.6052,0.0819,1200.9609,3.3775,49504.766,7.5935,0.4712,0.0001,12.9971,1663.313,0.8333,398.6834,1.501,1056.3004
Fressie Orange PET,1,118083.8563,25276.5258,0.2141,0.0902,10647.5879,0.9629,0.9598,0.9759,3.6052,0.0819,1198.6531,3.3775,49409.6372,7.5935,0.4712,0.0001,12.9971,1660.1168,0.8304,443.5032,1.4967,1054.2706
Fressie Orange PET,2,118083.8563,24125.428,0.2043,0.0845,9975.4277,0.9645,0.9601,0.9759,3.6052,0.0466,658.7666,3.0395,43008.4847,7.0672,0.4712,0.0001,12.9971,1605.7661,0.8433,587.0042,1.4085,927.0498
Fressie Orange PET,3,118083.8563,18556.2568,0.1571,0.039,4603.0179,0.8594,0.8418,0.883,3.6052,0.0121,168.1816,1.4206,19821.3176,5.2133,0.4712,0.0001,25.8782,3491.3553,0.8629,324.2159,1.369,1736.9017
Fressie Orange PET,4,118083.8563,20080.893,0.1701,0.0419,4949.4752,0.9436,0.9372,0.9759,3.6052,0.0022,33.9293,2.2194,33583.0208,5.9747,0.4712,0.0001,60.8079,8848.4522,0.8274,224.8309,1.4755,3359.0782
Fressie Orange PET,5,118083.8563,25776.677,0.2183,0.106,12521.7066,0.9588,0.9536,0.9759,3.6052,0.0438,580.3661,3.0999,41088.944,4.8686,0.4712,0.0001,12.9971,1658.3179,0.9096,761.8708,1.3104,694.7289
Fressie Orange PET,6,118083.8563,26210.8981,0.222,0.0971,11460.7445,0.9523,0.948,0.9759,3.6052,0.1766,2604.6006,2.7473,40523.717,4.8103,0.4712,0.0001,12.9971,1845.379,0.8799,640.5217,1.5744,773.0955
Fressie Orange/C-power PET,0,17741.1471,5228.7308,0.2947,0.1547,2744.9912,0.8357,0.806,0.8301,2.6568,0.055,136.7242,2.3195,5760.9334,7.4467,0.5838,-0.0023,12.9971,1876.0341,0.7012,1259.1184,1.8304,1828.6533
Fressie Orange/C-power PET,1,17741.1471,5522.5744,0.3113,0.1694,3005.4234,0.9002,0.8963,0.9255,2.6568,0.071,178.6881,2.7902,7023.2357,7.405,0.5838,-0.0023,12.9971,1901.2706,0.8051,1310.9453,1.8726,2077.0349
Fressie Orange/C-power PET,2,17741.1471,5271.8433,0.2972,0.1513,2684.8956,0.9253,0.924,0.9571,2.6568,0.1058,273.6302,3.1918,8257.0629,7.9162,0.5838,-0.0023,12.9971,1953.9899,0.8156,1291.6755,1.948,2244.8308
Fressie Orange/C-power PET,3,17741.1471,4054.7282,0.2285,0.0814,1444.9818,0.8335,0.7997,0.8417,2.6568,0.0634,165.3892,1.7444,4552.3356,6.2315,0.5838,-0.0023,19.7568,3298.5803,0.8033,853.9585,2.0322,3189.1715
Fressie Orange/C-power PET,4,17741.1471,4387.0103,0.2473,0.1014,1798.4226,0.8597,0.8467,0.8928,2.6568,0.012,31.0989,1.9771,5117.9186,6.0019,0.5838,-0.0023,19.1475,3180.4179,0.8165,942.3518,1.8789,3242.107
Fressie Orange/C-power PET,5,17741.1471,5632.1651,0.3175,0.1872,3320.7045,0.9206,0.9189,0.9674,2.6568,0.0574,132.6529,2.9027,6709.4846,4.8517,0.5838,-0.0023,12.9681,1924.7944,0.9009,1735.4723,1.6826,403.1827
Fressie Orange/C-power PET,6,17741.1471,5727.2745,0.3228,0.1826,3239.4842,0.927,0.9168,0.9641,2.6568,0.1655,411.6358,2.6327,6549.547,4.7863,0.5838,-0.0023,12.9681,2067.0031,0.872,1650.8201,1.8967,325.4546
Fressie Orange/Mango PET,0,51040.1428,11755.6801,0.2303,0.0931,4750.0244,0.9711,0.9611,0.985,3.0428,0.08,560.5581,3.2172,22538.7112,7.4605,0.5171,-0.0008,12.9971,1843.4178,0.8327,556.5252,1.5862,2336.1285
Fressie Orange/Mango PET,1,51040.1428,12415.0524,0.2432,0.1061,5417.3097,0.9584,0.9479,0.9823,3.0428,0.08,559.9248,3.2172,22513.2542,7.4605,0.5171,-0.0008,12.9971,1841.3356,0.8298,615.7284,1.5831,2333.4898
Fressie Orange/Mango PET,2,51040.1428,11849.8251,0.2322,0.1038,5298.8486,0.8769,0.8471,0.8774,3.0428,0.0066,43.4531,1.7695,11592.2274,5.6164,0.5171,-0.0008,12.9971,1723.7767,0.8426,844.5848,1.4092,2184.5097
Fressie Orange/Mango PET,3,51040.1428,9114.3614,0.1786,0.0412,2104.465,0.8284,0.8005,0.8442,3.0428,0.0229,160.3534,1.5066,10561.0612,5.6996,0.5171,-0.0008,25.8782,4057.974,0.8012,360.1569,1.5863,4758.6989
Fressie Orange/Mango PET,4,51040.1428,9862.3851,0.1932,0.0427,2181.7126,0.861,0.8376,0.8867,3.0428,0.0021,16.3227,1.5168,11649.7941,5.4587,0.5171,-0.0008,49.6965,8500.5351,0.8262,262.157,1.776,9512.5306
Fressie Orange/Mango PET,5,51040.1428,12660.9301,0.2481,0.1238,6317.9257,0.9404,0.9285,0.9812,3.0428,0.0508,322.0748,2.9139,18482.6212,4.7706,0.5171,-0.0008,12.9971,1835.9577,0.8816,975.7693,1.4063,480.7179
Fressie Orange/Mango PET,6,51040.1428,12874.4728,0.2522,0.1162,5928.6504,0.9407,0.9237,0.9744,3.0428,0.1642,1140.2237,2.6277,18251.364,4.7264,0.5171,-0.0008,12.9971,2010.441,0.8605,868.2199,1.6482,1684.4919
